id,instant_kl,accum_kl,train_loss,kl_loss,grad_norm,truncated,resp_len
1,0.138901,0.138901,0.138901,0.000000,1.035239,0.921875,4012.218750
2,0.141907,0.141907,0.141907,0.000643,1.038738,0.945312,4041.367188
3,0.143716,0.143716,0.143716,0.000730,1.044117,0.964844,4083.421875
4,0.137203,0.137203,0.137203,0.000807,0.990978,0.941406,4046.500000
5,0.135055,0.135055,0.135055,0.001232,0.917193,0.906250,3982.550781
6,0.126225,0.126225,0.126225,0.001873,0.797981,0.960938,4078.886719
7,0.127283,0.127283,0.127283,0.002416,0.837811,0.925781,4041.976562
8,0.132504,0.132504,0.132504,0.002896,0.816727,0.894531,4011.605469
9,0.132560,0.132560,0.132560,0.005383,0.754529,0.933594,4034.847656
10,0.126664,0.126664,0.126664,0.009520,0.750797,0.925781,4053.757812
11,0.132377,0.132377,0.132377,0.012570,0.751385,0.914062,4036.691406
12,0.126440,0.126440,0.126440,0.015086,0.728561,0.894531,4013.941406
13,0.126089,0.126089,0.126089,0.017790,0.723185,0.949219,4033.269531
14,0.123719,0.123719,0.123719,0.020463,0.729204,0.917969,4001.171875
15,0.119120,0.119120,0.119120,0.022478,0.656051,0.933594,4031.316406
16,0.124857,0.124857,0.124857,0.025020,0.887063,0.910156,4008.535156
17,0.112537,0.112537,0.112537,0.034034,0.663209,0.941406,4018.894531
18,0.116867,0.116867,0.116867,0.043858,0.613963,0.925781,4034.152344
19,0.115822,0.115822,0.115822,0.050202,0.610867,0.894531,4002.558594
20,0.118589,0.118589,0.118589,0.050800,0.598133,0.949219,4054.250000
21,0.111550,0.111550,0.111550,0.049695,0.520681,0.933594,4021.148438
22,0.120795,0.120795,0.120795,0.048813,0.512882,0.910156,4020.796875
23,0.124482,0.124482,0.124482,0.047465,0.673035,0.902344,3979.328125
24,0.116398,0.116398,0.116398,0.045325,0.477792,0.914062,4004.839844
25,0.102421,0.102421,0.102421,0.044635,0.451620,0.933594,4057.992188
26,0.119904,0.119904,0.119903,0.046663,0.498904,0.921875,3998.519531
27,0.115715,0.115715,0.115715,0.046788,0.458183,0.937500,4042.832031
28,0.116333,0.116333,0.116333,0.047633,0.442128,0.933594,4037.730469
29,0.114828,0.114828,0.114828,0.049070,0.433354,0.953125,4042.421875
30,0.116795,0.116795,0.116795,0.048659,0.466658,0.894531,3999.988281
31,0.107776,0.107776,0.107776,0.047719,0.411745,0.941406,4057.714844
32,0.112115,0.112115,0.112115,0.049733,0.428705,0.937500,4038.960938
33,0.110740,0.110740,0.110740,0.049994,0.451177,0.968750,4046.164062
34,0.112340,0.112340,0.112340,0.051117,0.444400,0.941406,4054.132812
35,0.116981,0.116981,0.116981,0.051094,0.434483,0.953125,4056.484375
36,0.114045,0.114045,0.114045,0.053338,0.447920,0.933594,4056.773438
37,0.122817,0.122817,0.122817,0.055790,0.423877,0.960938,4074.910156
38,0.113757,0.113757,0.113757,0.054825,0.419620,0.921875,4013.339844
39,0.110885,0.110885,0.110885,0.053660,0.649289,0.929688,4013.328125
40,0.110436,0.110436,0.110436,0.052708,0.418538,0.921875,4011.398438
41,0.115727,0.115727,0.115727,0.054568,0.427382,0.929688,4033.273438
42,0.114165,0.114165,0.114165,0.054118,0.438346,0.980469,4087.421875
43,0.118262,0.118262,0.118262,0.057072,0.418452,0.972656,4076.730469
44,0.118189,0.118189,0.118189,0.058380,0.455198,0.929688,4015.109375
45,0.108757,0.108757,0.108757,0.056213,0.413722,0.921875,4020.800781
46,0.108919,0.108919,0.108919,0.055602,0.428866,0.953125,4062.398438
47,0.104863,0.104863,0.104863,0.054231,0.386666,0.937500,4031.527344
48,0.112053,0.112053,0.112053,0.057104,0.426205,0.929688,4037.335938
49,0.107399,0.107399,0.107399,0.055403,0.416664,0.898438,4014.191406
50,0.109088,0.109088,0.109088,0.055886,0.395116,0.898438,4051.425781
51,0.107974,0.107974,0.107974,0.055188,0.405492,0.914062,4037.113281
52,0.105298,0.105298,0.105298,0.056764,0.407117,0.921875,3978.292969
53,0.117446,0.117446,0.117446,0.056078,0.390748,0.933594,4032.394531
54,0.110571,0.110571,0.110571,0.054702,0.387514,0.914062,4030.949219
55,0.109170,0.109170,0.109170,0.057066,0.401515,0.953125,4031.136719
56,0.108926,0.108926,0.108926,0.055303,0.406254,0.949219,4058.433594
57,0.107514,0.107514,0.107514,0.056640,0.406975,0.898438,3988.394531
58,0.112043,0.112043,0.112043,0.056485,0.381002,0.953125,4058.382812
59,0.115286,0.115286,0.115286,0.058919,0.407141,0.953125,4061.207031
60,0.118019,0.118019,0.118019,0.060272,0.458941,0.910156,3978.898438
61,0.115207,0.115207,0.115207,0.059344,0.421135,0.957031,4037.949219
62,0.112992,0.112992,0.112992,0.056793,0.397266,0.937500,4038.234375
63,0.112178,0.112178,0.112178,0.056569,0.405916,0.929688,4001.753906
64,0.112803,0.112803,0.112803,0.057521,0.436171,0.894531,3946.097656
65,0.114109,0.114109,0.114109,0.059552,0.392700,0.929688,4037.675781
66,0.110653,0.110653,0.110653,0.059585,0.439045,0.925781,4007.781250
67,0.115600,0.115600,0.115600,0.061522,0.415741,0.921875,4032.496094
68,0.104370,0.104370,0.104370,0.057373,0.399116,0.910156,4023.824219
69,0.105826,0.105826,0.105826,0.058895,0.411785,0.906250,3926.597656
70,0.112441,0.112441,0.112441,0.060973,0.437097,0.910156,3987.285156
71,0.115838,0.115838,0.115838,0.059278,0.424080,0.894531,4010.945312
72,0.107495,0.107495,0.107495,0.061066,0.395307,0.917969,4004.289062
73,0.114752,0.114752,0.114752,0.060393,0.401258,0.914062,3997.007812
74,0.107124,0.107124,0.107124,0.058901,0.403501,0.921875,4050.343750
75,0.102482,0.102482,0.102482,0.057801,0.433595,0.878906,3985.921875
76,0.104670,0.104670,0.104670,0.055998,0.453151,0.890625,3966.675781
77,0.106070,0.106070,0.106070,0.058596,0.397926,0.941406,4005.347656
78,0.108349,0.108349,0.108349,0.060584,0.415312,0.906250,4020.984375
79,0.109285,0.109285,0.109285,0.059159,0.395808,0.968750,4053.210938
80,0.111536,0.111536,0.111536,0.060616,0.409837,0.976562,4064.191406
81,0.107202,0.107202,0.107202,0.060354,0.398814,0.925781,4006.734375
82,0.107866,0.107866,0.107866,0.058336,0.395390,0.894531,3975.007812
83,0.107179,0.107179,0.107179,0.060933,0.393363,0.921875,4030.785156
84,0.110144,0.110144,0.110144,0.059937,1.247279,0.882812,4003.792969
85,0.106636,0.106636,0.106636,0.058381,0.387044,0.941406,4032.996094
