id,instant_kl,accum_kl,train_loss,kl_loss,grad_norm,truncated,resp_len
1,0.140025,0.139974,0.139974,0.000000,0.134556,0.921875,4003.152344
2,0.138785,0.138773,0.138773,0.000639,0.149727,0.933594,4047.375000
3,0.141910,0.141851,0.141851,0.000681,0.148244,0.945312,4062.777344
4,0.139164,0.139158,0.139158,0.000769,0.147638,0.925781,4031.773438
5,0.138383,0.138363,0.138363,0.001019,0.152666,0.914062,4002.656250
6,0.131756,0.131790,0.131790,0.001670,0.156602,0.953125,4082.003906
7,0.132560,0.132537,0.132537,0.002245,0.169449,0.941406,4060.675781
8,0.139445,0.139412,0.139412,0.002801,0.178178,0.921875,4036.738281
9,0.136713,0.136688,0.136688,0.005055,0.194843,0.921875,4005.425781
10,0.131040,0.130992,0.130992,0.010034,0.217228,0.945312,4062.144531
11,0.133213,0.133208,0.133208,0.014737,0.233739,0.925781,4049.703125
12,0.119573,0.119530,0.119530,0.020657,0.211428,0.921875,4042.753906
13,0.121291,0.121285,0.121285,0.028903,0.238666,0.941406,4041.890625
14,0.111485,0.111487,0.111487,0.037699,0.212839,0.925781,4003.097656
15,0.104082,0.104072,0.104072,0.046983,0.188391,0.949219,4043.378906
16,0.104528,0.104534,0.104534,0.056138,0.196366,0.925781,4028.480469
17,0.073051,0.072981,0.072981,0.085602,0.175052,0.929688,4025.890625
18,0.061818,0.061760,0.061760,0.119996,0.248177,0.937500,4034.929688
19,0.048353,0.048281,0.048281,0.143050,0.330536,0.929688,4043.675781
20,0.045748,0.045739,0.045739,0.144150,0.286646,0.960938,4051.507812
21,0.028386,0.028268,0.028268,0.146526,0.317932,0.914062,4034.738281
22,0.033721,0.033694,0.033694,0.146956,0.258968,0.933594,4052.531250
23,0.028477,0.028423,0.028423,0.145018,0.233373,0.917969,4018.683594
24,0.012406,0.012381,0.012381,0.140871,0.251289,0.929688,4037.089844
25,0.005899,0.005840,0.005840,0.126869,0.259064,0.976562,4089.261719
26,0.032378,0.032370,0.032370,0.116391,0.157842,0.921875,4012.910156
27,0.034366,0.034294,0.034294,0.108046,0.144051,0.933594,4035.312500
28,0.028549,0.028468,0.028468,0.107233,0.117753,0.925781,4038.734375
29,0.019573,0.019562,0.019562,0.108395,0.114632,0.937500,4026.886719
30,0.020237,0.020199,0.020199,0.106595,0.110983,0.917969,4024.347656
31,0.020623,0.020596,0.020596,0.096758,0.087585,0.941406,4057.886719
32,0.023917,0.023835,0.023835,0.096663,0.084783,0.933594,4044.058594
33,0.022658,0.022556,0.022556,0.093384,0.077056,0.945312,4025.085938
34,0.021810,0.021752,0.021752,0.097798,0.072456,0.941406,4061.019531
35,0.022581,0.022436,0.022436,0.095842,0.069310,0.949219,4061.835938
36,0.014133,0.014041,0.014041,0.101544,0.086766,0.933594,4062.000000
37,0.020700,0.020623,0.020623,0.103980,0.070326,0.960938,4071.335938
38,0.015714,0.015647,0.015647,0.095184,0.064236,0.902344,3992.835938
39,0.018057,0.018005,0.018005,0.090333,0.071637,0.929688,4021.207031
40,0.012917,0.012850,0.012850,0.091981,0.062793,0.906250,4023.773438
41,0.016835,0.016714,0.016714,0.095049,0.058639,0.941406,4050.988281
42,0.011984,0.011879,0.011879,0.091953,0.063214,0.980469,4078.957031
43,0.020173,0.020054,0.020054,0.093645,0.102012,0.957031,4062.546875
44,0.000013,-0.000101,-0.000101,0.107486,0.187891,0.910156,4024.980469
45,0.017301,0.017267,0.017267,0.084162,0.080208,0.937500,4048.976562
46,0.027261,0.027209,0.027209,0.079220,0.134959,0.960938,4058.167969
47,0.014286,0.014229,0.014229,0.083487,0.061850,0.949219,4052.378906
48,0.003770,0.003728,0.003728,0.097051,0.100015,0.929688,4056.097656
49,0.001873,0.001808,0.001808,0.093403,0.093407,0.925781,4021.128906
50,0.010726,0.010678,0.010678,0.090081,0.052672,0.949219,4073.238281
51,0.019769,0.019746,0.019746,0.083324,0.076455,0.898438,4042.875000
52,0.016591,0.016476,0.016476,0.081953,0.059024,0.941406,4013.136719
53,0.024356,0.024271,0.024271,0.087881,0.087574,0.929688,4043.328125
54,0.013158,0.013089,0.013089,0.086373,0.049708,0.933594,4055.613281
55,-0.000628,-0.000676,-0.000676,0.095597,0.105645,0.941406,4033.429688
56,0.005473,0.005437,0.005437,0.093338,0.069422,0.953125,4065.367188
57,0.009110,0.009032,0.009032,0.086941,0.056495,0.921875,4027.378906
58,0.018013,0.018001,0.018001,0.084780,0.064778,0.968750,4078.109375
59,0.024111,0.024024,0.024024,0.087103,0.086203,0.960938,4065.738281
60,0.015717,0.015652,0.015652,0.092577,0.054324,0.902344,3991.800781
61,0.008069,0.008029,0.008029,0.095261,0.055210,0.960938,4053.285156
62,0.008441,0.008390,0.008390,0.094606,0.058263,0.929688,4057.816406
63,0.008715,0.008679,0.008679,0.090944,0.059452,0.933594,4026.015625
64,0.013491,0.013482,0.013482,0.085970,0.049971,0.894531,3949.792969
65,0.014949,0.014931,0.014931,0.087753,0.054224,0.933594,4058.019531
66,0.013184,0.013221,0.013221,0.085805,0.096598,0.917969,4027.765625
67,0.011982,0.012056,0.012056,0.092345,0.053579,0.929688,4019.847656
68,0.008424,0.008394,0.008394,0.082240,0.080899,0.906250,4021.726562
69,0.006914,0.006933,0.006933,0.082201,0.054016,0.894531,3938.980469
70,0.013135,0.013148,0.013149,0.086004,0.055770,0.917969,4008.171875
71,0.016305,0.016315,0.016315,0.088603,0.061734,0.917969,4044.359375
72,0.003835,0.003870,0.003870,0.093449,0.070797,0.933594,4027.390625
73,0.012511,0.012572,0.012572,0.092766,0.050030,0.929688,4022.937500
74,0.007691,0.007760,0.007760,0.086072,0.051885,0.937500,4047.613281
75,0.009463,0.009430,0.009430,0.081533,0.045985,0.902344,4003.582031
76,0.014661,0.014719,0.014719,0.083101,0.057788,0.917969,3997.375000
77,0.011296,0.011301,0.011301,0.085250,0.046900,0.953125,4018.804688
78,0.011819,0.011923,0.011923,0.086109,0.044292,0.910156,4019.945312
79,0.007417,0.007574,0.007574,0.086817,0.053687,0.957031,4055.769531
80,0.012841,0.012904,0.012904,0.086994,0.051107,0.968750,4054.773438
81,0.009074,0.009123,0.009123,0.087890,0.049222,0.925781,4034.332031
82,0.007232,0.007232,0.007232,0.085269,0.054484,0.878906,4005.660156
83,0.013662,0.013663,0.013663,0.084689,0.057998,0.933594,4056.015625
84,0.015680,0.015707,0.015707,0.080449,0.065162,0.902344,4021.488281
85,0.005690,0.005775,0.005775,0.086620,0.057764,0.957031,4052.878906
86,0.003807,0.003936,0.003936,0.093287,0.074085,0.945312,4045.011719
87,0.012337,0.012403,0.012403,0.086924,0.053529,0.933594,4032.343750
88,0.017535,0.017512,0.017512,0.077343,0.080424,0.937500,4031.988281
89,0.012265,0.012255,0.012255,0.088129,0.047864,0.937500,4052.367188
90,0.003510,0.003481,0.003481,0.101451,0.077604,0.968750,4073.292969
91,0.003216,0.003218,0.003218,0.093216,0.072676,0.929688,4048.750000
92,0.015050,0.015149,0.015149,0.078573,0.058363,0.878906,3997.746094
93,0.013873,0.013928,0.013928,0.077782,0.065999,0.898438,3999.523438
94,0.015379,0.015456,0.015456,0.084774,0.072372,0.937500,4000.445312
95,0.000689,0.000714,0.000714,0.093359,0.097072,0.910156,3994.128906
96,0.007221,0.007302,0.007302,0.084718,0.059354,0.921875,4024.605469
97,0.019537,0.019565,0.019565,0.082738,0.100948,0.914062,3993.761719
98,0.005232,0.005248,0.005248,0.091942,0.066737,0.953125,4055.343750
99,0.008643,0.008663,0.008663,0.091206,0.049413,0.917969,3996.675781
100,0.015631,0.015620,0.015620,0.092284,0.071627,0.917969,4042.378906
101,0.011846,0.011874,0.011874,0.086584,0.048850,0.945312,4047.734375
