id,rollout/opd_reverse_kl,rollout/truncated,rollout/response_lengths,rollout/log_probs,rollout/teacher_log_probs,rollout/ref_log_probs,train/loss,train/pg_loss,train/kl_loss,train/entropy_loss,train/grad_norm,train/lr-pg_0
1,0.138901,0.921875,4012.218750,-0.159529,-0.298430,-0.159529,0.138901,0.138901,0.000000,0.159040,1.035239,0.000002
2,0.141907,0.945312,4041.367188,-0.164173,-0.306080,-0.164218,0.141907,0.141907,0.000643,0.164032,1.038738,0.000002
3,0.143716,0.964844,4083.421875,-0.169220,-0.312936,-0.169339,0.143716,0.143716,0.000730,0.168061,1.044117,0.000002
4,0.137203,0.941406,4046.500000,-0.163755,-0.300958,-0.163904,0.137203,0.137203,0.000807,0.163398,0.990978,0.000002
5,0.135055,0.906250,3982.550781,-0.163470,-0.298525,-0.164173,0.135055,0.135055,0.001232,0.162858,0.917193,0.000002
6,0.126225,0.960938,4078.886719,-0.162581,-0.288806,-0.163892,0.126225,0.126225,0.001873,0.161278,0.797981,0.000002
7,0.127283,0.925781,4041.976562,-0.171484,-0.298767,-0.173294,0.127283,0.127283,0.002416,0.170392,0.837811,0.000002
8,0.132504,0.894531,4011.605469,-0.174127,-0.306632,-0.176441,0.132504,0.132504,0.002896,0.174020,0.816727,0.000002
9,0.132560,0.933594,4034.847656,-0.187641,-0.320201,-0.192365,0.132560,0.132560,0.005383,0.187378,0.754529,0.000002
10,0.126664,0.925781,4053.757812,-0.196640,-0.323304,-0.205579,0.126664,0.126664,0.009520,0.196752,0.750797,0.000002
11,0.132377,0.914062,4036.691406,-0.207516,-0.339894,-0.219334,0.132377,0.132377,0.012570,0.206726,0.751385,0.000002
12,0.126440,0.894531,4013.941406,-0.210529,-0.336970,-0.225090,0.126440,0.126440,0.015086,0.210737,0.728561,0.000002
13,0.126089,0.949219,4033.269531,-0.218251,-0.344340,-0.235522,0.126089,0.126089,0.017790,0.217535,0.723185,0.000002
14,0.123719,0.917969,4001.171875,-0.231659,-0.355378,-0.251620,0.123719,0.123719,0.020463,0.231187,0.729204,0.000002
15,0.119120,0.933594,4031.316406,-0.231211,-0.350331,-0.253205,0.119120,0.119120,0.022478,0.230019,0.656051,0.000002
16,0.124857,0.910156,4008.535156,-0.239853,-0.364710,-0.264590,0.124857,0.124857,0.025020,0.239249,0.887063,0.000002
17,0.112537,0.941406,4018.894531,-0.254362,-0.366898,-0.288152,0.112537,0.112537,0.034034,0.253390,0.663209,0.000002
18,0.116867,0.925781,4034.152344,-0.274920,-0.391787,-0.318568,0.116867,0.116867,0.043858,0.273991,0.613963,0.000002
19,0.115822,0.894531,4002.558594,-0.294205,-0.410027,-0.344166,0.115822,0.115822,0.050202,0.292918,0.610867,0.000002
20,0.118589,0.949219,4054.250000,-0.287729,-0.406319,-0.338282,0.118589,0.118589,0.050800,0.286273,0.598133,0.000002
21,0.111550,0.933594,4021.148438,-0.281247,-0.392797,-0.330725,0.111550,0.111550,0.049695,0.280920,0.520681,0.000002
22,0.120795,0.910156,4020.796875,-0.291319,-0.412114,-0.339867,0.120795,0.120795,0.048813,0.290090,0.512882,0.000002
23,0.124482,0.902344,3979.328125,-0.286311,-0.410792,-0.333886,0.124482,0.124482,0.047465,0.284509,0.673035,0.000002
24,0.116398,0.914062,4004.839844,-0.276842,-0.393240,-0.322231,0.116398,0.116398,0.045325,0.276498,0.477792,0.000002
25,0.102421,0.933594,4057.992188,-0.264089,-0.366510,-0.308203,0.102421,0.102421,0.044635,0.263564,0.451620,0.000002
26,0.119904,0.921875,3998.519531,-0.283361,-0.403265,-0.329473,0.119903,0.119903,0.046663,0.283017,0.498904,0.000002
27,0.115715,0.937500,4042.832031,-0.280856,-0.396570,-0.326947,0.115715,0.115715,0.046788,0.280231,0.458183,0.000002
28,0.116333,0.933594,4037.730469,-0.284016,-0.400348,-0.331143,0.116333,0.116333,0.047633,0.284183,0.442128,0.000002
29,0.114828,0.953125,4042.421875,-0.290323,-0.405152,-0.339171,0.114828,0.114828,0.049070,0.289322,0.433354,0.000002
30,0.116795,0.894531,3999.988281,-0.287218,-0.404013,-0.335637,0.116795,0.116795,0.048659,0.286857,0.466658,0.000002
31,0.107776,0.941406,4057.714844,-0.274629,-0.382405,-0.321808,0.107776,0.107776,0.047719,0.274254,0.411745,0.000002
32,0.112115,0.937500,4038.960938,-0.285644,-0.397759,-0.334949,0.112115,0.112115,0.049733,0.285284,0.428705,0.000002
33,0.110740,0.968750,4046.164062,-0.283281,-0.394021,-0.332754,0.110740,0.110740,0.049994,0.282791,0.451177,0.000002
34,0.112340,0.941406,4054.132812,-0.290813,-0.403153,-0.341695,0.112340,0.112340,0.051117,0.290293,0.444400,0.000002
35,0.116981,0.953125,4056.484375,-0.293449,-0.410429,-0.344395,0.116981,0.116981,0.051094,0.292113,0.434483,0.000002
36,0.114045,0.933594,4056.773438,-0.297446,-0.411491,-0.350733,0.114045,0.114045,0.053338,0.296268,0.447920,0.000002
37,0.122817,0.960938,4074.910156,-0.311471,-0.434288,-0.366931,0.122817,0.122817,0.055790,0.310414,0.423877,0.000002
38,0.113757,0.921875,4013.339844,-0.301544,-0.415301,-0.356033,0.113757,0.113757,0.054825,0.301654,0.419620,0.000002
39,0.110885,0.929688,4013.328125,-0.293472,-0.404357,-0.346911,0.110885,0.110885,0.053660,0.292810,0.649289,0.000002
40,0.110436,0.921875,4011.398438,-0.287013,-0.397448,-0.339293,0.110436,0.110436,0.052708,0.286409,0.418538,0.000002
41,0.115727,0.929688,4033.273438,-0.299463,-0.415190,-0.353617,0.115727,0.115727,0.054568,0.299068,0.427382,0.000002
42,0.114165,0.980469,4087.421875,-0.296305,-0.410470,-0.349735,0.114165,0.114165,0.054118,0.296767,0.438346,0.000002
43,0.118262,0.972656,4076.730469,-0.305541,-0.423803,-0.361908,0.118262,0.118262,0.057072,0.305976,0.418452,0.000002
44,0.118189,0.929688,4015.109375,-0.312143,-0.430332,-0.369857,0.118189,0.118189,0.058380,0.312528,0.455198,0.000002
45,0.108757,0.921875,4020.800781,-0.298972,-0.407729,-0.354836,0.108757,0.108757,0.056213,0.298360,0.413722,0.000002
46,0.108919,0.953125,4062.398438,-0.288876,-0.397795,-0.344100,0.108919,0.108919,0.055602,0.288332,0.428866,0.000002
47,0.104863,0.937500,4031.527344,-0.282959,-0.387823,-0.336840,0.104863,0.104863,0.054231,0.283178,0.386666,0.000002
48,0.112053,0.929688,4037.335938,-0.304189,-0.416242,-0.360656,0.112053,0.112053,0.057104,0.304457,0.426205,0.000002
49,0.107399,0.898438,4014.191406,-0.289624,-0.397022,-0.344560,0.107399,0.107399,0.055403,0.290201,0.416664,0.000002
50,0.109088,0.898438,4051.425781,-0.298651,-0.407740,-0.354500,0.109088,0.109088,0.055886,0.298060,0.395116,0.000002
51,0.107974,0.914062,4037.113281,-0.292917,-0.400892,-0.347846,0.107974,0.107974,0.055188,0.292623,0.405492,0.000002
52,0.105298,0.921875,3978.292969,-0.295714,-0.401012,-0.352520,0.105298,0.105298,0.056764,0.294875,0.407117,0.000002
53,0.117446,0.933594,4032.394531,-0.302914,-0.420360,-0.358470,0.117446,0.117446,0.056078,0.302550,0.390748,0.000002
54,0.110571,0.914062,4030.949219,-0.288501,-0.399071,-0.342987,0.110571,0.110571,0.054702,0.288019,0.387514,0.000002
55,0.109170,0.953125,4031.136719,-0.295504,-0.404674,-0.352339,0.109170,0.109170,0.057066,0.295460,0.401515,0.000002
56,0.108926,0.949219,4058.433594,-0.288308,-0.397234,-0.343421,0.108926,0.108926,0.055303,0.288475,0.406254,0.000002
57,0.107514,0.898438,3988.394531,-0.294578,-0.402092,-0.350865,0.107514,0.107514,0.056640,0.294591,0.406975,0.000002
58,0.112043,0.953125,4058.382812,-0.298324,-0.410368,-0.354557,0.112043,0.112043,0.056485,0.298048,0.381002,0.000002
59,0.115286,0.953125,4061.207031,-0.306029,-0.421315,-0.364790,0.115286,0.115286,0.058919,0.304982,0.407141,0.000002
60,0.118019,0.910156,3978.898438,-0.316581,-0.434600,-0.376425,0.118019,0.118019,0.060272,0.316514,0.458941,0.000002
61,0.115207,0.957031,4037.949219,-0.312913,-0.428120,-0.371954,0.115207,0.115207,0.059344,0.312309,0.421135,0.000002
62,0.112992,0.937500,4038.234375,-0.297749,-0.410741,-0.354457,0.112992,0.112992,0.056793,0.297632,0.397266,0.000002
63,0.112178,0.929688,4001.753906,-0.294307,-0.406485,-0.350596,0.112178,0.112178,0.056569,0.294112,0.405916,0.000002
64,0.112803,0.894531,3946.097656,-0.302154,-0.414957,-0.359750,0.112803,0.112803,0.057521,0.301056,0.436171,0.000002
65,0.114109,0.929688,4037.675781,-0.306853,-0.420962,-0.366069,0.114109,0.114109,0.059552,0.306551,0.392700,0.000002
66,0.110653,0.925781,4007.781250,-0.303756,-0.414408,-0.363206,0.110653,0.110653,0.059585,0.303168,0.439045,0.000002
67,0.115600,0.921875,4032.496094,-0.314319,-0.429919,-0.375525,0.115600,0.115600,0.061522,0.313125,0.415741,0.000002
68,0.104370,0.910156,4023.824219,-0.287489,-0.391859,-0.344684,0.104370,0.104370,0.057373,0.286824,0.399116,0.000002
69,0.105826,0.906250,3926.597656,-0.294554,-0.400379,-0.353125,0.105826,0.105826,0.058895,0.294648,0.411785,0.000002
70,0.112441,0.910156,3987.285156,-0.308428,-0.420869,-0.369021,0.112441,0.112441,0.060973,0.307326,0.437097,0.000002
71,0.115838,0.894531,4010.945312,-0.303383,-0.419221,-0.362206,0.115838,0.115838,0.059278,0.303606,0.424080,0.000002
72,0.107495,0.917969,4004.289062,-0.305662,-0.413157,-0.365890,0.107495,0.107495,0.061066,0.306384,0.395307,0.000002
73,0.114752,0.914062,3997.007812,-0.307270,-0.422022,-0.367272,0.114752,0.114752,0.060393,0.306907,0.401258,0.000002
74,0.107124,0.921875,4050.343750,-0.294421,-0.401545,-0.353157,0.107124,0.107124,0.058901,0.293169,0.403501,0.000002
75,0.102482,0.878906,3985.921875,-0.286495,-0.388977,-0.343611,0.102482,0.102482,0.057801,0.286635,0.433595,0.000002
76,0.104670,0.890625,3966.675781,-0.279701,-0.384371,-0.335446,0.104670,0.104670,0.055998,0.278869,0.453151,0.000002
77,0.106070,0.941406,4005.347656,-0.288846,-0.394916,-0.347080,0.106070,0.106070,0.058596,0.287985,0.397926,0.000002
78,0.108349,0.906250,4020.984375,-0.298828,-0.407177,-0.358904,0.108349,0.108349,0.060584,0.298624,0.415312,0.000002
79,0.109285,0.968750,4053.210938,-0.297592,-0.406877,-0.356728,0.109285,0.109285,0.059159,0.297625,0.395808,0.000002
80,0.111536,0.976562,4064.191406,-0.303756,-0.415292,-0.364054,0.111536,0.111536,0.060616,0.302755,0.409837,0.000002
81,0.107202,0.925781,4006.734375,-0.298902,-0.406104,-0.358456,0.107202,0.107202,0.060354,0.299226,0.398814,0.000002
82,0.107866,0.894531,3975.007812,-0.289333,-0.397199,-0.347389,0.107866,0.107866,0.058336,0.288512,0.395390,0.000002
83,0.107179,0.921875,4030.785156,-0.299130,-0.406310,-0.359820,0.107179,0.107179,0.060933,0.298750,0.393363,0.000002
84,0.110144,0.882812,4003.792969,-0.295305,-0.405449,-0.354854,0.110144,0.110144,0.059937,0.295512,1.247279,0.000002
85,0.106636,0.941406,4032.996094,-0.291301,-0.397937,-0.349449,0.106636,0.106636,0.058381,0.291421,0.387044,0.000002
86,0.111047,0.949219,4041.648438,-0.308521,-0.419568,-0.370541,0.111047,0.111047,0.062332,0.308416,0.387379,0.000002
87,0.109396,0.925781,4023.746094,-0.304249,-0.413645,-0.365834,0.109396,0.109396,0.061562,0.303656,0.432561,0.000002
88,0.103669,0.925781,3997.246094,-0.290988,-0.394657,-0.350435,0.103669,0.103669,0.059526,0.290071,0.467490,0.000002
89,0.110735,0.925781,4030.156250,-0.309982,-0.420717,-0.372517,0.110735,0.110735,0.062752,0.308832,0.386448,0.000002
90,0.115374,0.960938,4064.542969,-0.301557,-0.416932,-0.360984,0.115374,0.115374,0.059489,0.300916,0.403185,0.000002
91,0.110185,0.925781,4019.683594,-0.302514,-0.412699,-0.364666,0.110185,0.110185,0.062054,0.300609,0.404895,0.000002
92,0.104049,0.910156,4010.214844,-0.284952,-0.389000,-0.343681,0.104049,0.104049,0.058908,0.284758,0.386053,0.000002
93,0.102291,0.878906,3974.796875,-0.290829,-0.393121,-0.349388,0.102291,0.102291,0.059408,0.291046,0.373630,0.000002
94,0.111804,0.925781,3988.214844,-0.297943,-0.409747,-0.357940,0.111804,0.111804,0.060567,0.297668,0.442966,0.000002
